Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,Cadrage & planning,2026-09-22,2026-10-01,8 day,85,,,,
2,2,Planning (GanttProject),2026-09-22,2026-09-29,6 day,90,,Paul,121,
2,3,Réunion de lancement (Boiteau / Ivan),2026-09-30,2026-10-01,2 day,0,2FS,Paul,121,
1,4,Choix du matériel,2026-10-02,2026-10-29,20 day,40,,,,
2,5,Besoins & cahier des charges,2026-10-02,2026-10-13,8 day,50,3FS,Paul,211,
2,6,"Comparatif & sélection (vannes, sous-compteurs)",2026-10-14,2026-10-29,12 day,30,5FS,Paul,211,
1,7,Plan AutoCAD ECAM,2026-10-30,2026-11-24,18 day,25,,,,
2,8,Relevé & plan existant ECAM,2026-10-30,2026-11-06,6 day,40,6FS,Paul,301,
2,9,Implantation des vannes & sous-compteurs,2026-11-09,2026-11-24,12 day,20,8FS,Paul,301,
1,10,Étude de propagation,2026-11-25,2026-12-29,25 day,0,,,,
2,11,Collecte de données & modélisation,2026-11-25,2026-12-15,15 day,0,9FS,Paul,41,
2,12,Analyse des résultats,2026-12-16,2026-12-29,10 day,0,11FS,Paul,41,
0,13,Clôture — livrable projet,2026-12-30,2026-12-30,0 day,0,12FS,,,
